date,sku,region,units_cf,price_cf
2023-01-02,OC_TP_REG,North,4521,58.19
2023-01-09,OC_TP_REG,North,5131,57.28
2023-01-16,OC_TP_REG,North,4659,55.9
2023-01-23,OC_TP_REG,North,4242,57.04
2023-01-30,OC_TP_REG,North,5453,57.73
2023-02-06,OC_TP_REG,North,4710,58.71
2023-02-13,OC_TP_REG,North,4383,61.5
2023-02-20,OC_TP_REG,North,4287,58.18
2023-02-27,OC_TP_REG,North,4721,53.55
2023-03-06,OC_TP_REG,North,4841,58.86
2023-03-13,OC_TP_REG,North,4489,59.51
2023-03-20,OC_TP_REG,North,4967,53.83
2023-03-27,OC_TP_REG,North,4123,59.23
2023-04-03,OC_TP_REG,North,4480,57.48
2023-04-10,OC_TP_REG,North,4279,57.45
2023-04-17,OC_TP_REG,North,4795,57.27
2023-04-24,OC_TP_REG,North,5401,58.52
2023-05-01,OC_TP_REG,North,5191,54.61
2023-05-08,OC_TP_REG,North,4594,57.77
2023-05-15,OC_TP_REG,North,4954,56.83
2023-05-22,OC_TP_REG,North,5152,58.45
2023-05-29,OC_TP_REG,North,4801,52.93
2023-06-05,OC_TP_REG,North,4784,56.27
2023-06-12,OC_TP_REG,North,5584,53.55
2023-06-19,OC_TP_REG,North,4130,57.83
2023-06-26,OC_TP_REG,North,4851,52.69
2023-07-03,OC_TP_REG,North,5191,55.43
2023-07-10,OC_TP_REG,North,4021,60.9
2023-07-17,OC_TP_REG,North,4887,56.37
2023-07-24,OC_TP_REG,North,4572,56.08
2023-07-31,OC_TP_REG,North,5084,55.98
2023-08-07,OC_TP_REG,North,5508,53.09
2023-08-14,OC_TP_REG,North,5823,53.16
2023-08-21,OC_TP_REG,North,4894,53.92
2023-08-28,OC_TP_REG,North,4169,59.17
2023-09-04,OC_TP_REG,North,4904,55.79
2023-09-11,OC_TP_REG,North,5046,52.98
2023-09-18,OC_TP_REG,North,5962,55.11
2023-09-25,OC_TP_REG,North,4537,56.87
2023-10-02,OC_TP_REG,North,4848,58.05
2023-10-09,OC_TP_REG,North,5197,54.39
2023-10-16,OC_TP_REG,North,4861,54.1
2023-10-23,OC_TP_REG,North,5272,54.33
2023-10-30,OC_TP_REG,North,5058,55.22
2023-11-06,OC_TP_REG,North,4977,58.38
2023-11-13,OC_TP_REG,North,4627,61.36
2023-11-20,OC_TP_REG,North,5427,53.31
2023-11-27,OC_TP_REG,North,4467,56.31
2023-12-04,OC_TP_REG,North,5025,54.77
2023-12-11,OC_TP_REG,North,5338,56.69
2023-12-18,OC_TP_REG,North,5751,56.28
2023-12-25,OC_TP_REG,North,4981,58.49
2024-01-01,OC_TP_REG,North,4920,54.49
2024-01-08,OC_TP_REG,North,5077,53.24
2024-01-15,OC_TP_REG,North,4941,57.54
2024-01-22,OC_TP_REG,North,4656,56.2
2024-01-29,OC_TP_REG,North,5991,55.53
2024-02-05,OC_TP_REG,North,5129,56.99
2024-02-12,OC_TP_REG,North,5053,55.92
2024-02-19,OC_TP_REG,North,5405,53.34
2024-02-26,OC_TP_REG,North,5316,54.97
2024-03-04,OC_TP_REG,North,4764,59.97
2024-03-11,OC_TP_REG,North,5335,53.91
2024-03-18,OC_TP_REG,North,6211,53.31
2024-03-25,OC_TP_REG,North,5427,57.13
2024-04-01,OC_TP_REG,North,5029,55.64
2024-04-08,OC_TP_REG,North,4887,52.87
2024-04-15,OC_TP_REG,North,4604,57.81
2024-04-22,OC_TP_REG,North,4932,60.36
2024-04-29,OC_TP_REG,North,4995,54.21
2024-05-06,OC_TP_REG,North,4826,53.65
2024-05-13,OC_TP_REG,North,4661,58.59
2024-05-20,OC_TP_REG,North,4969,56.06
2024-05-27,OC_TP_REG,North,4640,58.25
2024-06-03,OC_TP_REG,North,4225,57.26
2024-06-10,OC_TP_REG,North,5053,55.31
2024-06-17,OC_TP_REG,North,5774,54.71
2024-06-24,OC_TP_REG,North,4813,61.36
2024-07-01,OC_TP_REG,North,4721,62.05
2024-07-08,OC_TP_REG,North,4802,59.76
2024-07-15,OC_TP_REG,North,5205,55.09
2024-07-22,OC_TP_REG,North,5293,56.73
2024-07-29,OC_TP_REG,North,5510,57.38
2024-08-05,OC_TP_REG,North,5004,55.69
2024-08-12,OC_TP_REG,North,5515,56.73
2024-08-19,OC_TP_REG,North,5146,59.64
2024-08-26,OC_TP_REG,North,4816,57.88
2024-09-02,OC_TP_REG,North,5362,54.9
2024-09-09,OC_TP_REG,North,5173,57.89
2024-09-16,OC_TP_REG,North,4981,55.87
2024-09-23,OC_TP_REG,North,5028,56.19
2024-09-30,OC_TP_REG,North,5988,53.48
2024-10-07,OC_TP_REG,North,6516,52.4
2024-10-14,OC_TP_REG,North,5338,55.96
2024-10-21,OC_TP_REG,North,6057,53.82
2024-10-28,OC_TP_REG,North,5411,57.98
2024-11-04,OC_TP_REG,North,5172,55.83
2024-11-11,OC_TP_REG,North,4976,54.39
2024-11-18,OC_TP_REG,North,5918,52.48
2024-11-25,OC_TP_REG,North,5729,53.51
2024-12-02,OC_TP_REG,North,5277,56.31
2024-12-09,OC_TP_REG,North,5341,56.67
2024-12-16,OC_TP_REG,North,5834,55.98
2024-12-23,OC_TP_REG,North,5759,57.08
2023-01-02,OC_TP_REG,South,4775,52.36
2023-01-09,OC_TP_REG,South,4298,57.81
2023-01-16,OC_TP_REG,South,5183,53.8
2023-01-23,OC_TP_REG,South,3991,54.47
2023-01-30,OC_TP_REG,South,4733,54.39
2023-02-06,OC_TP_REG,South,4285,53.08
2023-02-13,OC_TP_REG,South,4902,50.51
2023-02-20,OC_TP_REG,South,4594,53.54
2023-02-27,OC_TP_REG,South,4957,53.73
2023-03-06,OC_TP_REG,South,4579,56.83
2023-03-13,OC_TP_REG,South,4161,57.77
2023-03-20,OC_TP_REG,South,5130,53.17
2023-03-27,OC_TP_REG,South,4478,54.01
2023-04-03,OC_TP_REG,South,4419,54.75
2023-04-10,OC_TP_REG,South,4498,55.64
