date,sku,category,region,units,price,promo_flag,discount_depth,revenue
2023-01-02,OC_TP_REG,Oral Care,North,4521,58.19,0,0.0,263074.78
2023-01-09,OC_TP_REG,Oral Care,North,5131,57.28,0,0.0,293913.02
2023-01-16,OC_TP_REG,Oral Care,North,4659,55.9,0,0.0,260418.48
2023-01-23,OC_TP_REG,Oral Care,North,4242,57.04,0,0.0,241978.63
2023-01-30,OC_TP_REG,Oral Care,North,5453,57.73,0,0.0,314785.86
2023-02-06,OC_TP_REG,Oral Care,North,4710,58.71,0,0.0,276527.89
2023-02-13,OC_TP_REG,Oral Care,North,4383,61.5,0,0.0,269539.42
2023-02-20,OC_TP_REG,Oral Care,North,4287,58.18,0,0.0,249432.0
2023-02-27,OC_TP_REG,Oral Care,North,4721,53.55,0,0.0,252804.78
2023-03-06,OC_TP_REG,Oral Care,North,4841,58.86,0,0.0,284938.09
2023-03-13,OC_TP_REG,Oral Care,North,4489,59.51,0,0.0,267152.2
2023-03-20,OC_TP_REG,Oral Care,North,4967,53.83,0,0.0,267386.94
2023-03-27,OC_TP_REG,Oral Care,North,4123,59.23,0,0.0,244217.82
2023-04-03,OC_TP_REG,Oral Care,North,4480,57.48,0,0.0,257493.38
2023-04-10,OC_TP_REG,Oral Care,North,3509,57.45,0,0.0,201605.48
2023-04-17,OC_TP_REG,Oral Care,North,3932,57.27,0,0.0,225195.11
2023-04-24,OC_TP_REG,Oral Care,North,4429,58.52,0,0.0,259162.99
2023-05-01,OC_TP_REG,Oral Care,North,5191,54.61,0,0.0,283502.93
2023-05-08,OC_TP_REG,Oral Care,North,4594,57.77,0,0.0,265393.81
2023-05-15,OC_TP_REG,Oral Care,North,4954,56.83,0,0.0,281556.12
2023-05-22,OC_TP_REG,Oral Care,North,5152,58.45,0,0.0,301157.83
2023-05-29,OC_TP_REG,Oral Care,North,4801,52.93,0,0.0,254109.41
2023-06-05,OC_TP_REG,Oral Care,North,4784,56.27,0,0.0,269198.09
2023-06-12,OC_TP_REG,Oral Care,North,5584,53.55,0,0.0,299030.53
2023-06-19,OC_TP_REG,Oral Care,North,4130,57.83,0,0.0,238834.13
2023-06-26,OC_TP_REG,Oral Care,North,4851,52.69,0,0.0,255610.08
2023-07-03,OC_TP_REG,Oral Care,North,5191,55.43,0,0.0,287756.09
2023-07-10,OC_TP_REG,Oral Care,North,4021,60.9,0,0.0,244879.57
2023-07-17,OC_TP_REG,Oral Care,North,4887,56.37,0,0.0,275483.41
2023-07-24,OC_TP_REG,Oral Care,North,4572,56.08,0,0.0,256385.02
2023-07-31,OC_TP_REG,Oral Care,North,5084,55.98,0,0.0,284579.35
2023-08-07,OC_TP_REG,Oral Care,North,5508,53.09,0,0.0,292419.93
2023-08-14,OC_TP_REG,Oral Care,North,5823,53.16,0,0.0,309538.64
2023-08-21,OC_TP_REG,Oral Care,North,4894,53.92,0,0.0,263871.53
2023-08-28,OC_TP_REG,Oral Care,North,4169,59.17,0,0.0,246692.2
2023-09-04,OC_TP_REG,Oral Care,North,4904,55.79,0,0.0,273610.57
2023-09-11,OC_TP_REG,Oral Care,North,5046,52.98,0,0.0,267330.65
2023-09-18,OC_TP_REG,Oral Care,North,5962,55.11,0,0.0,328539.45
2023-09-25,OC_TP_REG,Oral Care,North,4537,56.87,0,0.0,258015.41
2023-10-02,OC_TP_REG,Oral Care,North,4848,58.05,0,0.0,281429.49
2023-10-09,OC_TP_REG,Oral Care,North,5197,54.39,0,0.0,282675.35
2023-10-16,OC_TP_REG,Oral Care,North,4861,54.1,0,0.0,262971.63
2023-10-23,OC_TP_REG,Oral Care,North,5272,54.33,0,0.0,286443.22
2023-10-30,OC_TP_REG,Oral Care,North,5058,55.22,0,0.0,279294.43
2023-11-06,OC_TP_REG,Oral Care,North,4081,58.38,0,0.0,238241.09
2023-11-13,OC_TP_REG,Oral Care,North,3794,61.36,0,0.0,232793.39
2023-11-20,OC_TP_REG,Oral Care,North,4450,53.31,0,0.0,237227.04
2023-11-27,OC_TP_REG,Oral Care,North,4467,56.31,0,0.0,251533.5
2023-12-04,OC_TP_REG,Oral Care,North,5025,54.77,0,0.0,275199.66
2023-12-11,OC_TP_REG,Oral Care,North,5338,56.69,0,0.0,302591.71
2023-12-18,OC_TP_REG,Oral Care,North,5751,56.28,0,0.0,323672.51
2023-12-25,OC_TP_REG,Oral Care,North,4981,58.49,0,0.0,291336.35
2024-01-01,OC_TP_REG,Oral Care,North,4920,54.49,0,0.0,268103.51
2024-01-08,OC_TP_REG,Oral Care,North,5077,53.24,0,0.0,270289.16
2024-01-15,OC_TP_REG,Oral Care,North,4941,57.54,0,0.0,284308.08
2024-01-22,OC_TP_REG,Oral Care,North,4656,56.2,0,0.0,261653.3
2024-01-29,OC_TP_REG,Oral Care,North,5991,55.53,0,0.0,332684.59
2024-02-05,OC_TP_REG,Oral Care,North,5129,56.99,0,0.0,292317.8
2024-02-12,OC_TP_REG,Oral Care,North,5053,55.92,0,0.0,282588.93
2024-02-19,OC_TP_REG,Oral Care,North,5405,53.34,0,0.0,288309.92
2024-02-26,OC_TP_REG,Oral Care,North,5316,54.97,0,0.0,292229.93
2024-03-04,OC_TP_REG,Oral Care,North,4764,59.97,0,0.0,285682.04
2024-03-11,OC_TP_REG,Oral Care,North,5335,53.91,0,0.0,287616.54
2024-03-18,OC_TP_REG,Oral Care,North,6211,53.31,0,0.0,331095.29
2024-03-25,OC_TP_REG,Oral Care,North,5427,57.13,0,0.0,310069.43
2024-04-01,OC_TP_REG,Oral Care,North,5029,55.64,0,0.0,279832.82
2024-04-08,OC_TP_REG,Oral Care,North,4887,52.87,0,0.0,258377.19
2024-04-15,OC_TP_REG,Oral Care,North,4604,57.81,0,0.0,266175.01
2024-04-22,OC_TP_REG,Oral Care,North,4932,60.36,0,0.0,297679.98
2024-04-29,OC_TP_REG,Oral Care,North,4995,54.21,0,0.0,270770.12
2024-05-06,OC_TP_REG,Oral Care,North,4826,53.65,0,0.0,258914.08
2024-05-13,OC_TP_REG,Oral Care,North,4661,58.59,0,0.0,273097.27
2024-05-20,OC_TP_REG,Oral Care,North,4969,56.06,0,0.0,278583.65
2024-05-27,OC_TP_REG,Oral Care,North,4640,58.25,0,0.0,270296.75
2024-06-03,OC_TP_REG,Oral Care,North,4225,57.26,0,0.0,241920.83
2024-06-10,OC_TP_REG,Oral Care,North,5053,55.31,0,0.0,279504.75
2024-06-17,OC_TP_REG,Oral Care,North,5774,54.71,0,0.0,315904.58
2024-06-24,OC_TP_REG,Oral Care,North,4813,61.36,0,0.0,295341.66
2024-07-01,OC_TP_REG,Oral Care,North,4721,62.05,0,0.0,292916.55
2024-07-08,OC_TP_REG,Oral Care,North,4802,59.76,0,0.0,286944.21
2024-07-15,OC_TP_REG,Oral Care,North,5205,55.09,0,0.0,286731.78
2024-07-22,OC_TP_REG,Oral Care,North,5293,56.73,0,0.0,300285.19
2024-07-29,OC_TP_REG,Oral Care,North,5510,57.38,0,0.0,316148.97
2024-08-05,OC_TP_REG,Oral Care,North,5004,55.69,0,0.0,278686.03
2024-08-12,OC_TP_REG,Oral Care,North,5515,56.73,0,0.0,312880.21
2024-08-19,OC_TP_REG,Oral Care,North,5146,59.64,0,0.0,306902.82
2024-08-26,OC_TP_REG,Oral Care,North,4816,57.88,0,0.0,278767.35
2024-09-02,OC_TP_REG,Oral Care,North,5362,54.9,0,0.0,294348.93
2024-09-09,OC_TP_REG,Oral Care,North,4242,57.89,0,0.0,245560.59
2024-09-16,OC_TP_REG,Oral Care,North,4085,55.87,0,0.0,228222.57
2024-09-23,OC_TP_REG,Oral Care,North,4123,56.19,0,0.0,231687.71
2024-09-30,OC_TP_REG,Oral Care,North,5988,53.48,0,0.0,320225.83
2024-10-07,OC_TP_REG,Oral Care,North,6516,52.4,0,0.0,341415.25
2024-10-14,OC_TP_REG,Oral Care,North,5338,55.96,0,0.0,298728.32
2024-10-21,OC_TP_REG,Oral Care,North,6057,53.82,0,0.0,326005.39
2024-10-28,OC_TP_REG,Oral Care,North,5411,57.98,0,0.0,313735.21
2024-11-04,OC_TP_REG,Oral Care,North,5172,55.83,0,0.0,288770.71
2024-11-11,OC_TP_REG,Oral Care,North,4976,54.39,0,0.0,270651.53
2024-11-18,OC_TP_REG,Oral Care,North,5918,52.48,0,0.0,310560.26
2024-11-25,OC_TP_REG,Oral Care,North,5729,53.51,0,0.0,306550.76
2024-12-02,OC_TP_REG,Oral Care,North,5277,56.31,0,0.0,297156.08
2024-12-09,OC_TP_REG,Oral Care,North,5341,56.67,0,0.0,302653.41
2024-12-16,OC_TP_REG,Oral Care,North,5834,55.98,0,0.0,326608.56
2024-12-23,OC_TP_REG,Oral Care,North,5759,57.08,0,0.0,328711.3
2023-01-02,OC_TP_REG,Oral Care,South,4775,52.36,0,0.0,250005.46
2023-01-09,OC_TP_REG,Oral Care,South,4298,57.81,0,0.0,248453.32
2023-01-16,OC_TP_REG,Oral Care,South,5183,53.8,0,0.0,278864.26
2023-01-23,OC_TP_REG,Oral Care,South,3991,54.47,0,0.0,217378.46
2023-01-30,OC_TP_REG,Oral Care,South,4733,54.39,0,0.0,257404.93
2023-02-06,OC_TP_REG,Oral Care,South,4285,53.08,0,0.0,227455.56
2023-02-13,OC_TP_REG,Oral Care,South,4902,50.51,0,0.0,247611.03
2023-02-20,OC_TP_REG,Oral Care,South,4594,53.54,0,0.0,245983.41
2023-02-27,OC_TP_REG,Oral Care,South,4957,53.73,0,0.0,266361.72
2023-03-06,OC_TP_REG,Oral Care,South,4579,56.83,0,0.0,260245.48
2023-03-13,OC_TP_REG,Oral Care,South,4161,57.77,0,0.0,240379.66
2023-03-20,OC_TP_REG,Oral Care,South,5130,53.17,0,0.0,272739.48
2023-03-27,OC_TP_REG,Oral Care,South,4478,54.01,0,0.0,241847.63
2023-04-03,OC_TP_REG,Oral Care,South,4419,54.75,0,0.0,241922.31
2023-04-10,OC_TP_REG,Oral Care,South,3689,55.64,0,0.0,205262.36
2023-04-17,OC_TP_REG,Oral Care,South,4119,52.0,0,0.0,214186.37
2023-04-24,OC_TP_REG,Oral Care,South,3869,53.36,0,0.0,206435.79
2023-05-01,OC_TP_REG,Oral Care,South,4862,53.36,0,0.0,259423.3
2023-05-08,OC_TP_REG,Oral Care,South,4206,54.93,0,0.0,231026.25
2023-05-15,OC_TP_REG,Oral Care,South,4467,56.38,0,0.0,251831.93
2023-05-22,OC_TP_REG,Oral Care,South,4985,51.17,0,0.0,255075.93
2023-05-29,OC_TP_REG,Oral Care,South,4845,53.36,0,0.0,258544.14
2023-06-05,OC_TP_REG,Oral Care,South,4025,55.07,0,0.0,221655.38
2023-06-12,OC_TP_REG,Oral Care,South,4403,54.5,0,0.0,239964.03
2023-06-19,OC_TP_REG,Oral Care,South,4511,55.71,0,0.0,251291.44
2023-06-26,OC_TP_REG,Oral Care,South,4762,49.45,0,0.0,235469.68
